time,city,pm2_5,pm10,ozone
2025-12-11 00:00:00,bengaluru,50.9,53.3,119
2025-12-11 01:00:00,bengaluru,53.9,56.2,120
2025-12-11 02:00:00,bengaluru,57.5,59.8,120
2025-12-11 03:00:00,bengaluru,58.2,60.8,123
2025-12-11 04:00:00,bengaluru,53.4,56.7,135
2025-12-11 05:00:00,bengaluru,45.5,48.4,150
2025-12-11 06:00:00,bengaluru,40.7,43.1,160
2025-12-11 07:00:00,bengaluru,38.2,40.2,161
2025-12-11 08:00:00,bengaluru,36.4,38.5,157
2025-12-11 09:00:00,bengaluru,36.2,38.3,150
2025-12-11 10:00:00,bengaluru,36.8,38.9,141
2025-12-11 11:00:00,bengaluru,38.3,40.2,129
2025-12-11 12:00:00,bengaluru,41.9,43.4,116
2025-12-11 13:00:00,bengaluru,47.0,48.2,101
2025-12-11 14:00:00,bengaluru,50.5,51.6,86
2025-12-11 15:00:00,bengaluru,51.8,53.0,75
2025-12-11 16:00:00,bengaluru,52.4,53.4,72
2025-12-11 17:00:00,bengaluru,52.5,53.7,73
2025-12-11 18:00:00,bengaluru,51.7,52.9,75
2025-12-11 19:00:00,bengaluru,50.4,51.7,76
2025-12-11 20:00:00,bengaluru,49.8,51.1,77
2025-12-11 21:00:00,bengaluru,49.6,51.1,82
2025-12-11 22:00:00,bengaluru,50.6,52.2,93
2025-12-11 23:00:00,bengaluru,55.2,57.0,106
2025-12-12 00:00:00,bengaluru,55.1,56.8,116
2025-12-12 01:00:00,bengaluru,56.6,58.1,118
2025-12-12 02:00:00,bengaluru,57.7,59.6,116
2025-12-12 03:00:00,bengaluru,54.0,55.9,117
2025-12-12 04:00:00,bengaluru,50.2,52.2,125
2025-12-12 05:00:00,bengaluru,45.8,47.8,137
2025-12-12 06:00:00,bengaluru,39.9,42.1,145
2025-12-12 07:00:00,bengaluru,35.0,37.4,148
2025-12-12 08:00:00,bengaluru,30.9,33.2,148
2025-12-12 09:00:00,bengaluru,28.1,30.4,143
2025-12-12 10:00:00,bengaluru,26.8,29.0,129
2025-12-12 11:00:00,bengaluru,27.1,29.1,111
2025-12-12 12:00:00,bengaluru,32.8,34.3,92
2025-12-12 13:00:00,bengaluru,41.3,42.8,73
2025-12-12 14:00:00,bengaluru,44.2,45.5,55
2025-12-12 15:00:00,bengaluru,44.1,45.4,45
2025-12-12 16:00:00,bengaluru,43.7,44.8,48
2025-12-12 17:00:00,bengaluru,43.1,44.2,58
2025-12-12 18:00:00,bengaluru,42.0,43.1,68
2025-12-12 19:00:00,bengaluru,40.7,41.7,75
2025-12-12 20:00:00,bengaluru,39.8,40.6,82
2025-12-12 21:00:00,bengaluru,39.3,40.3,86
2025-12-12 22:00:00,bengaluru,39.3,40.4,87
2025-12-12 23:00:00,bengaluru,40.4,41.6,85
2025-12-13 00:00:00,bengaluru,44.1,45.5,81
2025-12-13 01:00:00,bengaluru,51.7,53.1,72
2025-12-13 02:00:00,bengaluru,55.9,57.0,60
2025-12-13 03:00:00,bengaluru,55.2,56.1,59
2025-12-13 04:00:00,bengaluru,34.8,37.7,77
2025-12-13 05:00:00,bengaluru,22.4,26.5,104
2025-12-13 06:00:00,bengaluru,16.6,20.4,126
2025-12-13 07:00:00,bengaluru,14.6,17.8,137
2025-12-13 08:00:00,bengaluru,13.9,16.6,143
2025-12-13 09:00:00,bengaluru,13.7,16.3,140
2025-12-13 10:00:00,bengaluru,13.6,16.1,125
2025-12-13 11:00:00,bengaluru,14.4,17.0,103
2025-12-13 12:00:00,bengaluru,22.1,24.4,81
2025-12-13 13:00:00,bengaluru,31.8,34.5,61
2025-12-13 14:00:00,bengaluru,34.8,37.7,42
2025-12-13 15:00:00,bengaluru,33.4,36.3,32
2025-12-13 16:00:00,bengaluru,31.7,34.7,37
2025-12-13 17:00:00,bengaluru,31.1,34.1,50
2025-12-13 18:00:00,bengaluru,30.3,33.3,63
2025-12-13 19:00:00,bengaluru,29.7,32.7,72
2025-12-13 20:00:00,bengaluru,30.6,33.4,81
2025-12-13 21:00:00,bengaluru,32.1,34.9,87
2025-12-13 22:00:00,bengaluru,34.0,36.8,89
2025-12-13 23:00:00,bengaluru,36.2,39.2,88
2025-12-14 00:00:00,bengaluru,39.1,42.3,85
2025-12-14 01:00:00,bengaluru,45.3,48.7,79
2025-12-14 02:00:00,bengaluru,50.8,53.9,71
2025-12-14 03:00:00,bengaluru,45.4,47.7,71
2025-12-14 04:00:00,bengaluru,31.9,34.7,86
2025-12-14 05:00:00,bengaluru,23.9,25.9,109
2025-12-14 06:00:00,bengaluru,19.2,21.1,126
2025-12-14 07:00:00,bengaluru,16.7,18.9,134
2025-12-14 08:00:00,bengaluru,15.9,18.3,136
2025-12-14 09:00:00,bengaluru,15.5,18.0,132
2025-12-14 10:00:00,bengaluru,15.8,18.0,120
2025-12-14 11:00:00,bengaluru,16.9,18.9,101
2025-12-14 12:00:00,bengaluru,23.3,24.9,83
2025-12-14 13:00:00,bengaluru,32.5,34.0,66
2025-12-14 14:00:00,bengaluru,36.6,38.0,49
2025-12-14 15:00:00,bengaluru,37.3,38.5,40
2025-12-14 16:00:00,bengaluru,37.3,38.4,45
2025-12-14 17:00:00,bengaluru,37.4,38.5,59
2025-12-14 18:00:00,bengaluru,37.3,38.3,70
2025-12-14 19:00:00,bengaluru,36.6,37.7,76
2025-12-14 20:00:00,bengaluru,36.4,37.5,80
2025-12-14 21:00:00,bengaluru,36.7,37.8,83
2025-12-14 22:00:00,bengaluru,37.6,38.9,83
2025-12-14 23:00:00,bengaluru,40.3,41.8,82
2025-12-15 00:00:00,bengaluru,44.7,46.3,82
2025-12-15 01:00:00,bengaluru,49.1,50.9,85
2025-12-15 02:00:00,bengaluru,50.6,52.7,90
2025-12-15 03:00:00,bengaluru,50.3,52.2,98
2025-12-15 04:00:00,bengaluru,46.0,48.1,112
2025-12-15 05:00:00,bengaluru,39.2,41.7,129
2025-12-15 06:00:00,bengaluru,32.4,34.9,141
2025-12-15 07:00:00,bengaluru,26.9,29.4,144
2025-12-15 08:00:00,bengaluru,23.3,25.8,141
2025-12-15 09:00:00,bengaluru,21.9,24.5,136
2025-12-15 10:00:00,bengaluru,22.4,25.0,127
2025-12-15 11:00:00,bengaluru,24.2,26.6,115
