date,hour,temperature_c
2025-12-11,0,14.15
2025-12-11,1,13.6
2025-12-11,2,13.1
2025-12-11,3,12.600000000000001
2025-12-11,4,12.05
2025-12-11,5,11.8
2025-12-11,6,11.399999999999999
2025-12-11,7,11.850000000000001
2025-12-11,8,14.75
2025-12-11,9,18.3
2025-12-11,10,21.35
2025-12-11,11,23.35
2025-12-11,12,24.700000000000003
2025-12-11,13,25.45
2025-12-11,14,25.6
2025-12-11,15,25.299999999999997
2025-12-11,16,24.35
2025-12-11,17,21.950000000000003
2025-12-11,18,19.6
2025-12-11,19,18.1
2025-12-11,20,16.85
2025-12-11,21,16.0
2025-12-11,22,15.25
2025-12-11,23,14.45
