time,temperature_c,relative_humidity,wind_speed_kmh,date,hour,temp_category,feels_like_c
2025-12-11 00:00:00,13.5,81,3.3,2025-12-11,0,mild,11.879999999999999
2025-12-11 01:00:00,13.0,83,3.6,2025-12-11,1,mild,11.34
2025-12-11 02:00:00,12.5,84,4.0,2025-12-11,2,mild,10.82
2025-12-11 03:00:00,11.9,86,4.0,2025-12-11,3,mild,10.18
2025-12-11 04:00:00,11.2,89,4.0,2025-12-11,4,mild,9.42
2025-12-11 05:00:00,11.1,90,4.0,2025-12-11,5,mild,9.299999999999999
2025-12-11 06:00:00,10.6,92,4.3,2025-12-11,6,mild,8.76
2025-12-11 07:00:00,10.4,93,4.3,2025-12-11,7,mild,8.540000000000001
2025-12-11 08:00:00,12.0,90,4.0,2025-12-11,8,mild,10.2
2025-12-11 09:00:00,15.0,78,2.5,2025-12-11,9,mild,13.44
2025-12-11 10:00:00,18.4,64,3.3,2025-12-11,10,mild,17.119999999999997
2025-12-11 11:00:00,20.6,55,4.3,2025-12-11,11,warm,19.5
2025-12-11 12:00:00,22.1,48,5.6,2025-12-11,12,warm,21.14
2025-12-11 13:00:00,22.9,44,6.3,2025-12-11,13,warm,22.02
2025-12-11 14:00:00,23.1,44,6.6,2025-12-11,14,warm,22.220000000000002
2025-12-11 15:00:00,22.9,46,6.6,2025-12-11,15,warm,21.979999999999997
2025-12-11 16:00:00,22.1,50,5.4,2025-12-11,16,warm,21.1
2025-12-11 17:00:00,20.3,60,2.7,2025-12-11,17,warm,19.1
2025-12-11 18:00:00,18.7,65,1.9,2025-12-11,18,mild,17.4
2025-12-11 19:00:00,17.7,67,0.8,2025-12-11,19,mild,16.36
2025-12-11 20:00:00,16.7,71,1.8,2025-12-11,20,mild,15.28
2025-12-11 21:00:00,15.9,73,2.3,2025-12-11,21,mild,14.440000000000001
2025-12-11 22:00:00,15.3,74,1.0,2025-12-11,22,mild,13.82
2025-12-11 23:00:00,14.7,76,3.4,2025-12-11,23,mild,13.18
